customer_id,first_name,surname,postcode,age
29223,Holly,Rogers,LS475RT,12
27826,Daniel,Owen,M902XX,5
7432,Eleanor,Russell,HR904ZA,34
2569,Paige,Roberts,DE732EP,61
9195,Matilda,Young,LS670FU,78
3031,Daisy,Turner,EX237PQ,43
23334,Mohammed,Barker,SW122AF,19
9082,Leah,Carter,LS670FR,41
8442,Mohammad,Carter,LS451GQ,27
15159,Hannah,Davis,NW817TJ,55
9781,Hayden,Gibson,LS867AT,20
20371,Michael,Price,RG787RD,31
20880,Sebastian,Campbell,SO145NE,45
24481,Gabriella,Wood,SW332TH,23
33215,Alfie,Richardson,EX982LX,24
18520,Isabelle,Graham,RG108UR,56
12992,Harvey,Bailey,NW260JA,83
12081,Freya,Young,M77EQ,72
22306,Julia,Thomson,SO597LQ,7
20988,Phoebe,Butler,SO147PB,6
30015,Emma,Muure,PO200HJ,13
31608,Lola,Holmes,M432ZX,1
16482,Lily,Thompson,PO398RP,73
30076,Poppy,Ward,NW472LR,22
28385,Liam,Marshall,SW540RE,1
27073,Jonathan,Robertson,LS906PA,63
30344,Harry,Snith,NW886EJ,32
1362,Isabelle,Harris,DE422HD,77
31071,Mia,Carter,M560SD,37
15326,Nathan,Bell,NW908RS,68
24442,Edward,Mitchell,SW332TH,24
24184,Leah,Roberts,SW318HA,1
2939,Molly,Martin,EX121UB,30
32177,Willivm,Bvvkev,NW277BX,25
27982,Evelyn,James,PO872DL,24
32704,Mohammed,Hunt,SO371DG,82
7140,Sebastian,Thompson,HR777AD,6
26506,Edward,Walker,SW988AG,22
33277,Jessica,Jackson,SO335FB,0
32838,Libby,Taylor,HR777AD,5
5182,Harry,Shaw,EX985AF,87
9402,Molly,Phillips,LS837BT,39
25715,Layla,Wood,SW791GH,65
21401,Jamie,Mason,SO335FB,25
7850,Luca,Evans,LS233HZ,26
22089,Reece,Murray,SO527SU,89
4308,Benjamin,Holmes,EX728SQ,35
9172,Jake,Shaw,LS670FU,49
3610,William,Mills,EX341WW,30
30699,Patrick,Murphy,HR904ZA,27
29334,Paul,Jenkins,M296ST,51
26030,Caitlin,Clark,SW844YZ,0
31388,Nick,Phillips,EX710EA,60
30319,Jessica,Gibson,HR174XY,0
18624,Sebastian,Richardson,RG119RQ,48
13261,Sarah,Kelly,NW290ZU,28
6387,Lewis,Miller,HR529LL,42
17639,Sophie,Owen,PO61NR,46
