customer_id,first_name,surname,postcode,age
1641,Rhys,Richards,DE456EZ,45
24796,Maisie,Young,SW433XX,16
14358,Nathan,King,NW49TU,58
15306,Jack,Moore,NW908RR,26
24971,Alexander,Roberts,SW500HW,85
7276,Ella,Green,HR802JT,95
24266,Benjamin,Gray,SW332TE,23
28332,Abigail,Taylor,EX86QS,37
18792,Joseph,Parker,RG150RG,33
27218,Mohammed,James,RG97YZ,20
1487,Callum,Barnes,DE422HG,37
12903,James,Shaw,NW168UX,18
27836,Tyler,Jones,DE654YJ,6
7404,Maisie,Barnes,HR861GF,57
27527,Ryan,Ellis,HR559UJ,48
3427,Sophia,Thomson,EX298AF,22
5437,Theo,Lewis,HR250EJ,72
24776,Bailey,Mills,SW433XX,59
22755,Matthew,Hunt,SO761QY,51
2239,Isabella,Williams,DE654YN,39
24550,Leon,Taylor,SW359AW,5
14993,Jack,Carter,NW68LW,58
12608,Toby,Richards,M913JN,50
27725,Lauren,Robinson,DE500JF,56
19833,Nicole,Wright,RG721PL,20
5679,Charlie,Simpson,HR335UZ,7
31395,Callum,Mubbay,SW93NF,18
22578,Isabella,Bailey,SO751EJ,53
3788,Kieran,Cox,EX483QY,0
378,Leon,Ellis,DE146FW,90
24381,Cian,Clark,SW332TG,76
10035,Cai,Fisher,M141DQ,27
4137,Henry,Cook,EX683DJ,29
21784,Archie,Robertson,SO473WU,92
672,Isabelle,King,DE167QG,20
5442,Callum,Phillips,HR250EJ,5
17361,Toby,Taylor,PO613TL,47
7294,Daniel,Foster,HR802JU,82
22224,Summer,Mason,SO561XZ,55
23917,Benjamin,Cook,SW212NZ,19
509,Alfie,Matthews,DE159QX,38
25711,Dylan,Gibson,SW791GH,0
30178,Riley,Wood,NW817TL,46
8743,Jayden,Rogers,LS480EN,36
25094,Riley,Wood,SW500HZ,31
14351,Jordan,Fisher,NW49TU,36
4361,Alex,Murphy,EX747DL,19
5887,Millie,Bailey,HR377QZ,43
17466,Teddy,Murray,PO61NN,17
23646,Georgia,Lewis,SW162HZ,67
875,Jessica,Hunt,DE250HA,21
17293,Skye,Anderson,PO613TJ,19
16398,Georgia,Palmer,PO377YR,3
26021,Zachary,Roberts,SW844YZ,34
93,Joseph,Powell,DE03UT,29
6781,Emilia,Graham,HR56DE,81
18898,Peter,Collins,RG172XH,30
108,Lydia,Hill,DE125LU,67
28810,Eleanor,Davies,NW277BU,100
24268,Alfie,Jenkins,SW332TE,51
13668,Mia,Hunt,NW374JP,32
3910,Harry,Watson,EX527TR,36
8919,Teagan,Palmer,LS58TA,80
17152,Harvey,Owen,PO493ZR,41
17767,Katie,Bailey,PO711HY,17
7548,Victoria,Murphy,HR90PU,58
29526,Maddison,Turner,PO217AE,53
4009,Ethan,Cox,EX662ES,86
6383,Ellie,Johnson,HR529LL,46
14969,Corey,Harris,NW68LW,36
5121,Dylan,Hunt,EX982LZ,29
32122,Amya,Rogers,PO891LD,47
10174,Zahra,Marshall,M190JH,96
29571,Max,Harris,HR481NB,75
19569,Amelia,Marshall,RG546PZ,17
30454,Amelia,Walker,HR167XF,49
5476,Millie,Mason,HR250EL,83
12164,Taylor,Rogers,M80NU,64
8021,Scarlett,Carter,LS257SN,3
15417,Grace,Davies,NW908RT,15
23519,Lauren,Holmes,SW162HA,85
29075,Charles,Stevens,NW260JA,52
20726,James,Carter,RG910HN,3
